,ResponseId,accuracy_journalism,change_mind,confidence_suicide,confidence_weight,fda_reg,funding,gender,is_control,is_dailybeast,is_nyt,political_party,prev_rate_belief,prev_weight_belief,rate_of_suicide,weight
10,R_TuAjd5vHec935yp,Mostly accurate,,A little sure,Mostly sure,No,Preventing suicide among teenage girls,Male,1,0,0,Democratic Party,,,The rate of suicide among teenage girls,"Losing weight depends MOSTLY on the difference between the number of calories you consume (take in) and the number you burn (use), which is the overall net quantity of calories you consume, REGARDLESS of the quality of food you eat."
11,R_2TWWl0GjzYkx6ip,Mostly accurate,,Somewhat sure,Mostly sure,Yes,Preventing suicide among teenage girls,Female,1,0,0,Democratic Party,,,The rate of suicide among teenage girls,"Losing weight depends MOSTLY on the difference between the number of calories you consume (take in) and the number you burn (use), which is the overall net quantity of calories you consume, REGARDLESS of the quality of food you eat."
12,R_31N7efNMSMzju8m,Somewhat accurate,,Somewhat sure,A little sure,No,Preventing suicide among teenage boys,Female,1,0,0,Republican Party,,,The rate of suicide among teenage boys,"Losing weight depends MOSTLY on the difference between the number of calories you consume (take in) and the number you burn (use), which is the overall net quantity of calories you consume, REGARDLESS of the quality of food you eat."
13,R_3PB3cLDO8cAkZaK,Somewhat accurate,,Somewhat sure,Somewhat sure,Yes,Preventing suicide among teenage girls,Female,1,0,0,Republican Party,,,The rate of suicide among teenage girls,"Losing weight depends MOSTLY on the quality of the food you eat, REGARDLESS of the difference between the number of calories you consume (take in) and the number you burn (use), which is the overall net quantity of calories you consume."
14,R_1nMwGh5coqJ0Psv,Somewhat accurate,,Somewhat sure,Mostly sure,No,Preventing suicide among teenage boys,Female,1,0,0,"None, Independent",,,The rate of suicide among teenage boys,"Losing weight depends MOSTLY on the difference between the number of calories you consume (take in) and the number you burn (use), which is the overall net quantity of calories you consume, REGARDLESS of the quality of food you eat."
15,R_7VwRxPxas54r2vf,Mostly accurate,,Somewhat sure,Mostly sure,No,Preventing suicide among teenage girls,Male,1,0,0,Democratic Party,,,The rate of suicide among teenage girls,"Losing weight depends MOSTLY on the difference between the number of calories you consume (take in) and the number you burn (use), which is the overall net quantity of calories you consume, REGARDLESS of the quality of food you eat."
16,R_2BzfevQEbphee2K,A little accurate,,Not sure at all (No confidence in the answer),Not very sure,No,Preventing suicide among teenage girls,Female,1,0,0,Republican Party,,,The rate of suicide among teenage girls,"Losing weight depends MOSTLY on the quality of the food you eat, REGARDLESS of the difference between the number of calories you consume (take in) and the number you burn (use), which is the overall net quantity of calories you consume."
17,R_0oLyFLhp1CP6UXT,Somewhat accurate,,A little sure,Somewhat sure,Yes,Preventing suicide among teenage girls,Male,1,0,0,"None, Independent",,,The rate of suicide among teenage girls,"Losing weight depends MOSTLY on the quality of the food you eat, REGARDLESS of the difference between the number of calories you consume (take in) and the number you burn (use), which is the overall net quantity of calories you consume."
18,R_3Pi8sxZNtXAO7TE,A little accurate,,Mostly sure,Somewhat sure,Yes,Preventing suicide among teenage girls,Male,1,0,0,Republican Party,,,The rate of suicide among teenage girls,"Losing weight depends MOSTLY on the quality of the food you eat, REGARDLESS of the difference between the number of calories you consume (take in) and the number you burn (use), which is the overall net quantity of calories you consume."
19,R_WCBjrEIjVBqJZcJ,A little accurate,,Not very sure,Not very sure,No,Preventing suicide among teenage boys,Female,1,0,0,"None, Independent",,,The rate of suicide among teenage boys,"Losing weight depends MOSTLY on the quality of the food you eat, REGARDLESS of the difference between the number of calories you consume (take in) and the number you burn (use), which is the overall net quantity of calories you consume."
20,R_2SpoAubOvMfUHTI,Somewhat accurate,,A little sure,Mostly sure,No,Preventing suicide among teenage boys,Female,1,0,0,"None, Independent",,,The rate of suicide among teenage boys,"Losing weight depends MOSTLY on the difference between the number of calories you consume (take in) and the number you burn (use), which is the overall net quantity of calories you consume, REGARDLESS of the quality of food you eat."
21,R_3QQRI6yi7rxrhDe,Mostly accurate,,A little sure,A little sure,No,Preventing suicide among teenage girls,Female,1,0,0,Democratic Party,,,The rate of suicide among teenage girls,"Losing weight depends MOSTLY on the difference between the number of calories you consume (take in) and the number you burn (use), which is the overall net quantity of calories you consume, REGARDLESS of the quality of food you eat."
22,R_27s2TcFCtfNVmVX,Somewhat accurate,,Mostly sure,Mostly sure,No,Preventing suicide among teenage boys,Male,1,0,0,Democratic Party,,,The rate of suicide among teenage boys,"Losing weight depends MOSTLY on the difference between the number of calories you consume (take in) and the number you burn (use), which is the overall net quantity of calories you consume, REGARDLESS of the quality of food you eat."
23,R_27szIWCAk3031Bk,Somewhat accurate,,Mostly sure,A little sure,No,Preventing suicide among teenage boys,Female,1,0,0,"None, Independent",,,The rate of suicide among teenage boys,"Losing weight depends MOSTLY on the difference between the number of calories you consume (take in) and the number you burn (use), which is the overall net quantity of calories you consume, REGARDLESS of the quality of food you eat."
24,R_AhSkvrOzJqR8hDr,Somewhat accurate,,Not very sure,A little sure,No,Preventing suicide among teenage boys,Male,1,0,0,"None, Independent",,,The rate of suicide among teenage girls,"Losing weight depends MOSTLY on the difference between the number of calories you consume (take in) and the number you burn (use), which is the overall net quantity of calories you consume, REGARDLESS of the quality of food you eat."
25,R_yVojc6m54AD34sN,Mostly accurate,,Not very sure,Extremely sure,No,Preventing suicide among teenage girls,Male,1,0,0,Democratic Party,,,The rate of suicide among teenage girls,"Losing weight depends MOSTLY on the difference between the number of calories you consume (take in) and the number you burn (use), which is the overall net quantity of calories you consume, REGARDLESS of the quality of food you eat."
26,R_wKLgP5i843chGN3,A little accurate,,A little sure,A little sure,No,Preventing suicide among teenage girls,Female,1,0,0,"None, Independent",,,The rate of suicide among teenage girls,"Losing weight depends MOSTLY on the difference between the number of calories you consume (take in) and the number you burn (use), which is the overall net quantity of calories you consume, REGARDLESS of the quality of food you eat."
27,R_2aE4SG0f53vCsTn,Mostly accurate,,Not very sure,Extremely sure,No,Preventing suicide among teenage girls,Female,1,0,0,Democratic Party,,,The rate of suicide among teenage girls,"Losing weight depends MOSTLY on the difference between the number of calories you consume (take in) and the number you burn (use), which is the overall net quantity of calories you consume, REGARDLESS of the quality of food you eat."
28,R_3EfKAog95bEQ5l2,Mostly inaccurate,,A little sure,A little sure,No,Preventing suicide among teenage girls,Female,1,0,0,Democratic Party,,,The rate of suicide among teenage girls,"Losing weight depends MOSTLY on the difference between the number of calories you consume (take in) and the number you burn (use), which is the overall net quantity of calories you consume, REGARDLESS of the quality of food you eat."
29,R_3gNoW94DAGPfYUS,Somewhat accurate,,Somewhat sure,Somewhat sure,Yes,Preventing suicide among teenage girls,Female,1,0,0,"None, Independent",,,The rate of suicide among teenage girls,"Losing weight depends MOSTLY on the quality of the food you eat, REGARDLESS of the difference between the number of calories you consume (take in) and the number you burn (use), which is the overall net quantity of calories you consume."
30,R_Os1N1A7f6DjPZ73,A little accurate,,Not very sure,Somewhat sure,No,Preventing suicide among teenage boys,Female,1,0,0,"None, Independent",,,The rate of suicide among teenage boys,"Losing weight depends MOSTLY on the difference between the number of calories you consume (take in) and the number you burn (use), which is the overall net quantity of calories you consume, REGARDLESS of the quality of food you eat."
31,R_2ZEPMBLOaov1RzX,Mostly inaccurate,,Somewhat sure,Mostly sure,No,Preventing suicide among teenage boys,Female,1,0,0,"None, Independent",,,The rate of suicide among teenage boys,"Losing weight depends MOSTLY on the difference between the number of calories you consume (take in) and the number you burn (use), which is the overall net quantity of calories you consume, REGARDLESS of the quality of food you eat."
32,R_OAMItSR080z1Lix,A little accurate,,Not very sure,Not very sure,Yes,Preventing suicide among teenage boys,Female,1,0,0,Republican Party,,,The rate of suicide among teenage boys,"Losing weight depends MOSTLY on the difference between the number of calories you consume (take in) and the number you burn (use), which is the overall net quantity of calories you consume, REGARDLESS of the quality of food you eat."
33,R_3kmLRWV6a6CmhZs,Mostly accurate,,Somewhat sure,Mostly sure,No,Preventing suicide among teenage boys,Male,1,0,0,Democratic Party,,,The rate of suicide among teenage boys,"Losing weight depends MOSTLY on the quality of the food you eat, REGARDLESS of the difference between the number of calories you consume (take in) and the number you burn (use), which is the overall net quantity of calories you consume."
34,R_3sgmO1WSTOCAVnd,A little accurate,,A little sure,Somewhat sure,No,Preventing suicide among teenage boys,Female,1,0,0,"None, Independent",,,The rate of suicide among teenage boys,"Losing weight depends MOSTLY on the difference between the number of calories you consume (take in) and the number you burn (use), which is the overall net quantity of calories you consume, REGARDLESS of the quality of food you eat."
35,R_3knRpWgMCFcjQKq,Somewhat accurate,,Extremely sure,Extremely sure,Yes,Preventing suicide among teenage girls,Male,1,0,0,Republican Party,,,The rate of suicide among teenage girls,"Losing weight depends MOSTLY on the quality of the food you eat, REGARDLESS of the difference between the number of calories you consume (take in) and the number you burn (use), which is the overall net quantity of calories you consume."
36,R_1ojvhXPjyZdk1nd,Somewhat accurate,,Mostly sure,Extremely sure,No,Preventing suicide among teenage boys,Female,1,0,0,Democratic Party,,,The rate of suicide among teenage boys,"Losing weight depends MOSTLY on the difference between the number of calories you consume (take in) and the number you burn (use), which is the overall net quantity of calories you consume, REGARDLESS of the quality of food you eat."
37,R_b2T8qDfEF0mPHjj,Mostly accurate,,Not very sure,Somewhat sure,No,Preventing suicide among teenage girls,Female,1,0,0,"None, Independent",,,The rate of suicide among teenage girls,"Losing weight depends MOSTLY on the difference between the number of calories you consume (take in) and the number you burn (use), which is the overall net quantity of calories you consume, REGARDLESS of the quality of food you eat."
38,R_1FcGPmdSz1JDxnj,Somewhat accurate,,Not very sure,A little sure,No,Preventing suicide among teenage girls,Male,1,0,0,"None, Independent",,,The rate of suicide among teenage girls,"Losing weight depends MOSTLY on the difference between the number of calories you consume (take in) and the number you burn (use), which is the overall net quantity of calories you consume, REGARDLESS of the quality of food you eat."
39,R_1nQ3tedOvIseBGR,Somewhat accurate,,Somewhat sure,Extremely sure,No,Preventing suicide among teenage girls,Female,1,0,0,Democratic Party,,,The rate of suicide among teenage girls,"Losing weight depends MOSTLY on the quality of the food you eat, REGARDLESS of the difference between the number of calories you consume (take in) and the number you burn (use), which is the overall net quantity of calories you consume."
40,R_cus35nSt5vlXoaZ,Somewhat accurate,,Not very sure,Mostly sure,No,Preventing suicide among teenage girls,Male,1,0,0,Democratic Party,,,The rate of suicide among teenage girls,"Losing weight depends MOSTLY on the difference between the number of calories you consume (take in) and the number you burn (use), which is the overall net quantity of calories you consume, REGARDLESS of the quality of food you eat."
41,R_2Ua5EhqvSV5XRpO,Somewhat accurate,,Somewhat sure,A little sure,No,Preventing suicide among teenage boys,Female,1,0,0,Democratic Party,,,The rate of suicide among teenage boys,"Losing weight depends MOSTLY on the difference between the number of calories you consume (take in) and the number you burn (use), which is the overall net quantity of calories you consume, REGARDLESS of the quality of food you eat."
42,R_9ZXHGhqSJ5RGcHD,Somewhat accurate,,Mostly sure,Somewhat sure,Yes,Preventing suicide among teenage girls,Female,1,0,0,Democratic Party,,,The rate of suicide among teenage girls,"Losing weight depends MOSTLY on the difference between the number of calories you consume (take in) and the number you burn (use), which is the overall net quantity of calories you consume, REGARDLESS of the quality of food you eat."
43,R_25XFSlKwE5Fb0pW,Somewhat accurate,,Somewhat sure,Mostly sure,No,Preventing suicide among teenage boys,Male,1,0,0,"None, Independent",,,The rate of suicide among teenage boys,"Losing weight depends MOSTLY on the difference between the number of calories you consume (take in) and the number you burn (use), which is the overall net quantity of calories you consume, REGARDLESS of the quality of food you eat."
44,R_3EuTrLZ5pBeSojy,Mostly accurate,,Not very sure,Mostly sure,No,Preventing suicide among teenage boys,Male,1,0,0,Democratic Party,,,The rate of suicide among teenage boys,"Losing weight depends MOSTLY on the difference between the number of calories you consume (take in) and the number you burn (use), which is the overall net quantity of calories you consume, REGARDLESS of the quality of food you eat."
45,R_2ctSe3B1VgqmA4I,Mostly accurate,,Somewhat sure,Extremely sure,Yes,Preventing suicide among teenage boys,Male,1,0,0,Republican Party,,,The rate of suicide among teenage boys,"Losing weight depends MOSTLY on the difference between the number of calories you consume (take in) and the number you burn (use), which is the overall net quantity of calories you consume, REGARDLESS of the quality of food you eat."
46,R_40LAPliRBD1ZWil,Somewhat accurate,,A little sure,Extremely sure,No,Preventing suicide among teenage boys,Female,1,0,0,"None, Independent",,,The rate of suicide among teenage boys,"Losing weight depends MOSTLY on the difference between the number of calories you consume (take in) and the number you burn (use), which is the overall net quantity of calories you consume, REGARDLESS of the quality of food you eat."
47,R_bDT4PFj02qL5eh3,Somewhat accurate,,A little sure,Mostly sure,No,Preventing suicide among teenage boys,Female,1,0,0,Libertarian Party,,,The rate of suicide among teenage boys,"Losing weight depends MOSTLY on the difference between the number of calories you consume (take in) and the number you burn (use), which is the overall net quantity of calories you consume, REGARDLESS of the quality of food you eat."
48,R_UsSXNotRIOLjQsN,Mostly accurate,,Not very sure,Extremely sure,No,Preventing suicide among teenage boys,Female,1,0,0,Democratic Party,,,The rate of suicide among teenage boys,"Losing weight depends MOSTLY on the difference between the number of calories you consume (take in) and the number you burn (use), which is the overall net quantity of calories you consume, REGARDLESS of the quality of food you eat."
49,R_xfI5s4WvjbiUkjT,Mostly inaccurate,,Not very sure,A little sure,No,Preventing suicide among teenage boys,Female,1,0,0,"None, Independent",,,The rate of suicide among teenage boys,"Losing weight depends MOSTLY on the difference between the number of calories you consume (take in) and the number you burn (use), which is the overall net quantity of calories you consume, REGARDLESS of the quality of food you eat."
50,R_1eDGqXvQdL8msp0,Mostly inaccurate,,Somewhat sure,Mostly sure,No,Preventing suicide among teenage boys,Male,1,0,0,Democratic Party,,,The rate of suicide among teenage boys,"Losing weight depends MOSTLY on the difference between the number of calories you consume (take in) and the number you burn (use), which is the overall net quantity of calories you consume, REGARDLESS of the quality of food you eat."
51,R_1lv3gRCjDewkXC1,Mostly accurate,,Not very sure,Somewhat sure,No,Preventing suicide among teenage boys,Female,1,0,0,Democratic Party,,,The rate of suicide among teenage boys,"Losing weight depends MOSTLY on the difference between the number of calories you consume (take in) and the number you burn (use), which is the overall net quantity of calories you consume, REGARDLESS of the quality of food you eat."
52,R_307t1A9lc5Fi4h4,A little accurate,,Somewhat sure,Extremely sure,Yes,Preventing suicide among teenage girls,Female,1,0,0,Democratic Party,,,The rate of suicide among teenage girls,"Losing weight depends MOSTLY on the difference between the number of calories you consume (take in) and the number you burn (use), which is the overall net quantity of calories you consume, REGARDLESS of the quality of food you eat."
53,R_1r7c338CauQKZUL,Mostly accurate,,Mostly sure,Mostly sure,No,Preventing suicide among teenage boys,Male,1,0,0,Democratic Party,,,The rate of suicide among teenage boys,"Losing weight depends MOSTLY on the difference between the number of calories you consume (take in) and the number you burn (use), which is the overall net quantity of calories you consume, REGARDLESS of the quality of food you eat."
54,R_3NLjmNn2w66W7hF,Mostly accurate,,Mostly sure,Somewhat sure,Yes,Preventing suicide among teenage boys,Male,1,0,0,"None, Independent",,,The rate of suicide among teenage boys,"Losing weight depends MOSTLY on the difference between the number of calories you consume (take in) and the number you burn (use), which is the overall net quantity of calories you consume, REGARDLESS of the quality of food you eat."
55,R_cwt5mYl6HKQQWsh,Mostly accurate,,Somewhat sure,Mostly sure,Yes,Preventing suicide among teenage girls,Male,1,0,0,"None, Independent",,,The rate of suicide among teenage girls,"Losing weight depends MOSTLY on the difference between the number of calories you consume (take in) and the number you burn (use), which is the overall net quantity of calories you consume, REGARDLESS of the quality of food you eat."
56,R_2wMLXSNtmautVMw,Somewhat accurate,,Somewhat sure,A little sure,No,Preventing suicide among teenage girls,Female,1,0,0,"None, Independent",,,The rate of suicide among teenage girls,"Losing weight depends MOSTLY on the difference between the number of calories you consume (take in) and the number you burn (use), which is the overall net quantity of calories you consume, REGARDLESS of the quality of food you eat."
57,R_3g0Xl3YnRXNDF3N,Somewhat accurate,,A little sure,Mostly sure,No,Preventing suicide among teenage girls,Female,1,0,0,Republican Party,,,The rate of suicide among teenage girls,"Losing weight depends MOSTLY on the difference between the number of calories you consume (take in) and the number you burn (use), which is the overall net quantity of calories you consume, REGARDLESS of the quality of food you eat."
58,R_1dbgB2iqYkO34tO,Extremely inaccurate,,Not sure at all (No confidence in the answer),Mostly sure,No,Preventing suicide among teenage boys,Male,1,0,0,"None, Independent",,,The rate of suicide among teenage boys,"Losing weight depends MOSTLY on the difference between the number of calories you consume (take in) and the number you burn (use), which is the overall net quantity of calories you consume, REGARDLESS of the quality of food you eat."
59,R_ULAnb9X3y9M6oX7,Mostly accurate,,Mostly sure,Extremely sure,No,Preventing suicide among teenage girls,Female,1,0,0,Democratic Party,,,The rate of suicide among teenage girls,"Losing weight depends MOSTLY on the quality of the food you eat, REGARDLESS of the difference between the number of calories you consume (take in) and the number you burn (use), which is the overall net quantity of calories you consume."
60,R_wMGHryTS7XMqbHX,Somewhat accurate,,Somewhat sure,Somewhat sure,No,Preventing suicide among teenage girls,Male,1,0,0,Republican Party,,,The rate of suicide among teenage girls,"Losing weight depends MOSTLY on the quality of the food you eat, REGARDLESS of the difference between the number of calories you consume (take in) and the number you burn (use), which is the overall net quantity of calories you consume."
61,R_2B4myLF0QJ5fTTU,A little accurate,,A little sure,A little sure,No,Preventing suicide among teenage girls,Male,1,0,0,Republican Party,,,The rate of suicide among teenage girls,"Losing weight depends MOSTLY on the difference between the number of calories you consume (take in) and the number you burn (use), which is the overall net quantity of calories you consume, REGARDLESS of the quality of food you eat."
62,R_zSaaDOFstJuRWeZ,Mostly accurate,,Somewhat sure,Mostly sure,No,Preventing suicide among teenage girls,Male,1,0,0,"None, Independent",,,The rate of suicide among teenage girls,"Losing weight depends MOSTLY on the difference between the number of calories you consume (take in) and the number you burn (use), which is the overall net quantity of calories you consume, REGARDLESS of the quality of food you eat."
63,R_ufRtbcur1mdyoGl,A little accurate,,Somewhat sure,Somewhat sure,No,Preventing suicide among teenage girls,Male,1,0,0,Democratic Party,,,The rate of suicide among teenage boys,"Losing weight depends MOSTLY on the difference between the number of calories you consume (take in) and the number you burn (use), which is the overall net quantity of calories you consume, REGARDLESS of the quality of food you eat."
64,R_2YVVY16daHLj7CA,Mostly inaccurate,,A little sure,Somewhat sure,No,Preventing suicide among teenage girls,Female,1,0,0,Democratic Party,,,The rate of suicide among teenage girls,"Losing weight depends MOSTLY on the difference between the number of calories you consume (take in) and the number you burn (use), which is the overall net quantity of calories you consume, REGARDLESS of the quality of food you eat."
65,R_a5WA0IQPIzfQZoJ,Mostly accurate,,Somewhat sure,Somewhat sure,No,Preventing suicide among teenage girls,Male,1,0,0,Democratic Party,,,The rate of suicide among teenage girls,"Losing weight depends MOSTLY on the difference between the number of calories you consume (take in) and the number you burn (use), which is the overall net quantity of calories you consume, REGARDLESS of the quality of food you eat."
66,R_2z8dokdsfT896Ex,Mostly accurate,,Somewhat sure,Mostly sure,No,Preventing suicide among teenage boys,Female,1,0,0,"None, Independent",,,The rate of suicide among teenage boys,"Losing weight depends MOSTLY on the difference between the number of calories you consume (take in) and the number you burn (use), which is the overall net quantity of calories you consume, REGARDLESS of the quality of food you eat."
67,R_UnjrrcKd9j4hYKR,Mostly accurate,,Somewhat sure,Mostly sure,Yes,Preventing suicide among teenage boys,Female,1,0,0,Democratic Party,,,The rate of suicide among teenage boys,"Losing weight depends MOSTLY on the quality of the food you eat, REGARDLESS of the difference between the number of calories you consume (take in) and the number you burn (use), which is the overall net quantity of calories you consume."
68,R_WwyKshzuOyp9gLT,Mostly accurate,,A little sure,Mostly sure,No,Preventing suicide among teenage boys,Male,1,0,0,"None, Independent",,,The rate of suicide among teenage boys,"Losing weight depends MOSTLY on the difference between the number of calories you consume (take in) and the number you burn (use), which is the overall net quantity of calories you consume, REGARDLESS of the quality of food you eat."
69,R_1DokwJIeF5jlEzi,Mostly accurate,,Not very sure,Somewhat sure,No,Preventing suicide among teenage girls,Male,1,0,0,Democratic Party,,,The rate of suicide among teenage boys,"Losing weight depends MOSTLY on the difference between the number of calories you consume (take in) and the number you burn (use), which is the overall net quantity of calories you consume, REGARDLESS of the quality of food you eat."
70,R_2zpdPIec03eN6VY,Mostly accurate,,Mostly sure,Extremely sure,Yes,Preventing suicide among teenage girls,Female,1,0,0,Democratic Party,,,The rate of suicide among teenage girls,"Losing weight depends MOSTLY on the difference between the number of calories you consume (take in) and the number you burn (use), which is the overall net quantity of calories you consume, REGARDLESS of the quality of food you eat."
71,R_2WJwEqKNjX3l5uE,A little accurate,,Somewhat sure,A little sure,No,Preventing suicide among teenage boys,Male,1,0,0,Republican Party,,,The rate of suicide among teenage boys,"Losing weight depends MOSTLY on the difference between the number of calories you consume (take in) and the number you burn (use), which is the overall net quantity of calories you consume, REGARDLESS of the quality of food you eat."
72,R_ywp53IzU8XaqC1r,Mostly accurate,,Somewhat sure,Extremely sure,No,Preventing suicide among teenage girls,Male,1,0,0,Democratic Party,,,The rate of suicide among teenage girls,"Losing weight depends MOSTLY on the quality of the food you eat, REGARDLESS of the difference between the number of calories you consume (take in) and the number you burn (use), which is the overall net quantity of calories you consume."
73,R_2drSIuZ2ZLme6bx,Mostly accurate,,Somewhat sure,A little sure,No,Preventing suicide among teenage boys,Female,1,0,0,Democratic Party,,,The rate of suicide among teenage boys,"Losing weight depends MOSTLY on the difference between the number of calories you consume (take in) and the number you burn (use), which is the overall net quantity of calories you consume, REGARDLESS of the quality of food you eat."
74,R_31jtvIeuOUrRgLW,Somewhat accurate,,Extremely sure,Extremely sure,Yes,Preventing suicide among teenage boys,Male,1,0,0,Republican Party,,,The rate of suicide among teenage boys,"Losing weight depends MOSTLY on the difference between the number of calories you consume (take in) and the number you burn (use), which is the overall net quantity of calories you consume, REGARDLESS of the quality of food you eat."
75,R_1louEhXp5q8MVfJ,Somewhat accurate,,A little sure,Somewhat sure,Yes,Preventing suicide among teenage girls,Male,1,0,0,"None, Independent",,,The rate of suicide among teenage girls,"Losing weight depends MOSTLY on the difference between the number of calories you consume (take in) and the number you burn (use), which is the overall net quantity of calories you consume, REGARDLESS of the quality of food you eat."
76,R_3LaKgJ5WfUCkPUc,Somewhat accurate,,A little sure,Somewhat sure,Yes,Preventing suicide among teenage girls,Male,1,0,0,Democratic Party,,,The rate of suicide among teenage girls,"Losing weight depends MOSTLY on the quality of the food you eat, REGARDLESS of the difference between the number of calories you consume (take in) and the number you burn (use), which is the overall net quantity of calories you consume."
77,R_25SZoVJek6qy6fA,Mostly accurate,,Mostly sure,Mostly sure,Yes,Preventing suicide among teenage boys,Male,1,0,0,Republican Party,,,The rate of suicide among teenage girls,"Losing weight depends MOSTLY on the difference between the number of calories you consume (take in) and the number you burn (use), which is the overall net quantity of calories you consume, REGARDLESS of the quality of food you eat."
78,R_279iGsdjNgl95kA,Somewhat accurate,,Somewhat sure,Extremely sure,No,Preventing suicide among teenage girls,Male,1,0,0,Libertarian Party,,,The rate of suicide among teenage girls,"Losing weight depends MOSTLY on the difference between the number of calories you consume (take in) and the number you burn (use), which is the overall net quantity of calories you consume, REGARDLESS of the quality of food you eat."
79,R_1rCSeimMGph4hLZ,Mostly accurate,,Mostly sure,Mostly sure,No,Preventing suicide among teenage boys,Female,1,0,0,"None, Independent",,,The rate of suicide among teenage boys,"Losing weight depends MOSTLY on the difference between the number of calories you consume (take in) and the number you burn (use), which is the overall net quantity of calories you consume, REGARDLESS of the quality of food you eat."
80,R_1kIGH1C2sxVixTO,Mostly accurate,,Not sure at all (No confidence in the answer),A little sure,Yes,Preventing suicide among teenage boys,Female,1,0,0,Republican Party,,,The rate of suicide among teenage girls,"Losing weight depends MOSTLY on the difference between the number of calories you consume (take in) and the number you burn (use), which is the overall net quantity of calories you consume, REGARDLESS of the quality of food you eat."
81,R_3L6n6GY9yUX4Ulo,Mostly inaccurate,,Mostly sure,Mostly sure,Yes,Preventing suicide among teenage boys,Female,1,0,0,Republican Party,,,The rate of suicide among teenage boys,"Losing weight depends MOSTLY on the difference between the number of calories you consume (take in) and the number you burn (use), which is the overall net quantity of calories you consume, REGARDLESS of the quality of food you eat."
82,R_2DUIYjsurQNtlPR,Mostly inaccurate,,Mostly sure,Extremely sure,No,Preventing suicide among teenage boys,Male,1,0,0,Republican Party,,,The rate of suicide among teenage boys,"Losing weight depends MOSTLY on the difference between the number of calories you consume (take in) and the number you burn (use), which is the overall net quantity of calories you consume, REGARDLESS of the quality of food you eat."
